Sl no.,Set,Species,Mesh,Total weight (mg),Bag weight (mg),SeedWeight,Seeds,Undeveloped,Developed,Actual seed number,Florets,Heads,Seed set per floret,Weight per seed
1,E,Ageratum,S,1056.49,869.76,186.73,589,68,521,594,66,9,0.877104,0.35840691
2,E,Ageratum,S,1277.13,867.78,409.35,1179,134,1045,1188,66,18,0.87963,0.391722488
3,E,Ageratum,S,1171.79,856.5,315.29,842,65,777,858,66,13,0.905594,0.405778636
4,E,Ageratum,S,1126.59,911.7,214.89,654,37,617,660,66,10,0.934848,0.34828201
5,E,Ageratum,S,1213.75,844.24,369.51,1047,140,907,1056,66,16,0.858902,0.407398015
6,E,Ageratum,S,1313.21,872.46,440.75,1315,185,1130,1320,66,20,0.856061,0.390044248
7,E,Ageratum,S,1149.92,877.2,272.72,848,81,767,858,66,13,0.893939,0.355567145
8,E,Ageratum,S,1099.92,818.85,281.07,1167,332,835,1188,66,18,0.702862,0.336610778
9,E,Ageratum,S,1132.63,857.21,275.42,723,128,595,792,66,12,0.751263,0.462890756
10,E,Ageratum,S,1412.36,906.89,505.47,1564,250,1314,1584,66,24,0.829545,0.384680365
11,E,Ageratum,S,1165.04,885.59,279.45,916,189,727,924,66,14,0.786797,0.384387896
12,E,Ageratum,S,996.2,822.32,173.88,450,60,390,462,66,7,0.844156,0.445846154
13,E,Ageratum,S,1291.28,871.61,419.67,1054,154,900,1056,66,16,0.852273,0.4663
14,E,Ageratum,S,1298.78,912.95,385.83,1300,337,963,1386,66,21,0.694805,0.400654206
15,E,Ageratum,S,997.08,834.06,163.02,450,58,392,462,66,7,0.848485,0.415867347
16,E,Ageratum,S,1110.29,797.81,312.48,775,70,705,792,66,12,0.890152,0.443234043
17,E,Ageratum,S,1023.78,826.19,197.59,566,68,498,594,66,9,0.838384,0.396767068
18,E,Ageratum,S,1007.63,858.25,149.38,367,45,322,396,66,6,0.813131,0.463913044
19,E,Ageratum,S,981.57,839.26,142.31,459,30,429,462,66,7,0.928571,0.331724942
20,E,Ageratum,S,1096.32,773.34,322.98,774,74,700,792,66,12,0.883838,0.4614
21,E,Ageratum,S,987.68,764.59,223.09,725,53,672,726,66,11,0.92562,0.331979167
22,E,Ageratum,S,1032.44,809.22,223.22,578,67,511,594,66,9,0.860269,0.436829746
23,E,Ageratum,S,968.6,800.06,168.54,509,41,468,528,66,8,0.886364,0.360128205
24,E,Ageratum,S,999.77,773.38,226.39,645,56,589,660,66,10,0.892424,0.384363328
25,E,Ageratum,L,1124.86,825.72,299.14,771,78,693,792,66,12,0.875,0.431659452
26,E,Ageratum,L,1172.11,825.71,346.4,916,71,845,924,66,14,0.914502,0.409940828
27,E,Ageratum,L,1118.21,831.26,286.95,846,75,771,858,66,13,0.898601,0.372178988
28,E,Ageratum,L,1101.7,841.47,260.23,651,66,585,660,66,10,0.886364,0.444837607
29,E,Ageratum,L,1004.04,750.38,253.66,790,48,742,792,66,12,0.936869,0.341859838
30,E,Ageratum,L,1104.89,932.27,172.62,585,68,517,594,66,9,0.87037,0.333887814
31,E,Ageratum,L,983.73,864.51,119.22,374,39,335,396,66,6,0.84596,0.355880597
32,E,Ageratum,L,992.66,763.62,229.04,659,81,578,660,66,10,0.875758,0.396262976
33,E,Ageratum,L,1077.91,822.53,255.38,825,120,705,858,66,13,0.821678,0.362241135
34,E,Ageratum,L,1216.38,816.56,399.82,1120,192,928,1122,66,17,0.827094,0.430840517
35,E,Ageratum,L,1077.61,896.41,181.2,456,50,406,462,66,7,0.878788,0.446305419
36,E,Ageratum,L,927.02,843.73,83.29,260,11,249,264,66,4,0.943182,0.334497992
37,E,Ageratum,L,1094.86,810.94,283.92,898,178,720,990,66,15,0.727273,0.394333333
38,E,Ageratum,L,904.92,743.29,161.63,500,60,440,528,66,8,0.833333,0.367340909
39,E,Ageratum,L,908.22,758.79,149.43,455,43,412,462,66,7,0.891775,0.362694175
40,E,Ageratum,L,898.06,746.72,151.34,436,30,406,462,66,7,0.878788,0.372758621
41,E,Ageratum,L,913.4,756.71,156.69,513,52,461,528,66,8,0.873106,0.33989154
42,E,Ageratum,L,879.17,766.35,112.82,305,48,257,330,66,5,0.778788,0.438988327
43,E,Ageratum,L,903.24,821.44,81.8,247,20,227,264,66,4,0.859848,0.360352423
44,E,Ageratum,L,978.89,860.55,118.34,322,34,288,330,66,5,0.872727,0.410902778
45,E,Ageratum,L,1049.66,824.08,225.58,843,197,646,858,66,13,0.752914,0.349195046
46,E,Ageratum,L,946.64,803.21,143.43,327,18,309,330,66,5,0.936364,0.464174757
47,E,Ageratum,L,986.61,832.2,154.41,379,25,354,396,66,6,0.893939,0.436186441
48,E,Ageratum,L,1151.16,872.14,279.02,974,153,821,990,66,15,0.829293,0.339853837
49,E,Ageratum,L,939.76,806.62,133.14,302,21,281,330,66,5,0.851515,0.473807829
50,E,Ageratum,O,991.37,727.37,264,590,35,555,594,66,9,0.934343,0.475675676
51,E,Ageratum,O,1036.86,762.95,273.91,781,98,683,792,66,12,0.862374,0.401039532
52,E,Ageratum,O,910.39,776.93,133.46,379,50,329,396,66,6,0.830808,0.405653495
53,E,Ageratum,O,1089.87,829.6,260.27,782,144,638,792,66,12,0.805556,0.407946709
54,E,Ageratum,O,1048.83,905.33,143.5,390,26,364,396,66,6,0.919192,0.394230769
55,E,Ageratum,O,1104.9,946.63,158.27,450,61,389,462,66,7,0.841991,0.406863753
56,E,Ageratum,O,918.79,799.54,119.25,312,37,275,330,66,5,0.833333,0.433636364
57,E,Ageratum,O,1114.25,847.55,266.7,914,126,788,924,66,14,0.852814,0.338451777
58,E,Ageratum,O,1176.42,954.15,222.27,590,70,520,594,66,9,0.875421,0.427442308
59,E,Ageratum,O,974.53,848.32,126.21,388,44,344,396,66,6,0.868687,0.366889535
60,E,Ageratum,O,1021.66,829.16,192.5,589,60,529,594,66,9,0.890572,0.36389414
61,E,Ageratum,O,995.6,829.01,166.59,657,82,575,660,66,10,0.871212,0.289721739
62,E,Ageratum,O,1016.35,877.57,138.78,453,68,385,462,66,7,0.833333,0.360467533
63,E,Ageratum,O,980.99,904.45,76.54,250,12,238,264,66,4,0.901515,0.321596639
64,E,Ageratum,O,975.83,832.8,143.03,396,55,341,396,66,6,0.861111,0.419442815
65,E,Ageratum,O,918.35,738.48,179.87,460,25,435,462,66,7,0.941558,0.413494253
66,E,Ageratum,O,1006.01,863.45,142.56,389,38,351,396,66,6,0.886364,0.406153846
67,E,Ageratum,O,1186.62,849.23,337.39,920,109,811,924,66,14,0.877706,0.416017263
68,E,Ageratum,O,1080.77,900.41,180.36,436,44,392,462,66,7,0.848485,0.460102041
69,E,Ageratum,O,1057.8,878.61,179.19,519,75,444,528,66,8,0.840909,0.403581081
